,회사명,거래소코드,회계년도,자산,부채,자본,유동자산,유동부채,당좌자산,단기차입금,장기차입금,사채,매출액,당기순이익,감가상각비,기타대손상각비,이자비용,이자수익,유동성장기부채,영업활동으로 인한 현금흐름,영업이익,매출원가,투자자산,유형자산,무형자산,이연자산,매출채권,재고자산,법인세비용차감전,세금과공과,퇴직급여,임차료,영업외수익,영업외비용,회계월
213856,온세미컨덕터코리아(주),11097,2016,502372767.0,143794872.0,358577895.0,194026024.0,118648847.0,115765920.0,0.0,24100000.0,0.0,408759616.0,16664573.0,485668.0,0.0,0.0,27096553.0,19876.0,16612970.0,-2886618.0,367834559.0,7657864.0,295764428.0,3919664.0,0.0,97577176.0,78260104.0,24207170.0,400577.0,2059564.0,480768.0,71128280.0,44034492.0,Dec
158449,와이이십이프로젝트금융투자주식회사,45382,2010,566414019.0,518293309.0,48120710.0,8803495.0,393606474.0,8803495.0,160000000.0,113908994.0,0.0,0.0,-145778.0,0.0,0.0,0.0,9303.0,66870558.0,78981505.0,-2366685.0,0.0,35595021.0,522015503.0,0.0,0.0,0.0,0.0,-145778.0,1030.0,0.0,1125.0,7067128.0,4846220.0,Dec
158450,와이이십이프로젝트금융투자주식회사,45382,2011,583681912.0,619780272.0,-36098360.0,3635460.0,489761414.0,3635460.0,169800000.0,108100824.0,0.0,0.0,-84219071.0,0.0,0.0,0.0,943.0,97409199.0,-10419773.0,-26563143.0,0.0,0.0,542807429.0,0.0,0.0,0.0,0.0,-84219071.0,303.0,0.0,0.0,116829.0,57772756.0,Dec
158451,와이이십이프로젝트금융투자주식회사,45382,2012,585630308.0,692642193.0,-107011885.0,1635944.0,647743798.0,1635944.0,169800000.0,41946760.0,0.0,0.0,-71311485.0,0.0,0.0,0.0,1068.0,180758580.0,-17403980.0,-20847023.0,0.0,0.0,546755342.0,0.0,0.0,0.0,0.0,-71311485.0,250.0,0.0,0.0,4722724.0,55187185.0,Dec
158452,와이이십이프로젝트금융투자주식회사,45382,2013,610017261.0,795949423.0,-185932161.0,3380237.0,724484053.0,3380237.0,156450000.0,65643530.0,0.0,0.0,-78920276.0,0.0,0.0,0.0,2127.0,196655836.0,-27887470.0,-21327929.0,0.0,0.0,569397628.0,0.0,0.0,0.0,0.0,-78920276.0,678.0,0.0,0.0,2781749.0,60374097.0,Dec
158453,와이이십이프로젝트금융투자주식회사,45382,2014,637357228.0,882536884.0,-245179657.0,1045399.0,804098981.0,1045399.0,166947360.0,66511376.0,0.0,0.0,-59247495.0,0.0,0.0,0.0,26610893.0,201587080.0,-10703244.0,-14957428.0,0.0,0.0,572462004.0,0.0,0.0,0.0,0.0,-59247495.0,1868.0,0.0,2040.0,27077993.0,71368061.0,Dec
158454,와이이십이프로젝트금융투자주식회사,45382,2015,671203012.0,1005501109.0,-334298097.0,34182958.0,920253159.0,34182958.0,201650520.0,68079160.0,0.0,0.0,-89118441.0,0.0,0.0,0.0,2737676.0,207885991.0,2739466.0,-11314134.0,0.0,0.0,571018182.0,0.0,0.0,0.0,0.0,-89118441.0,568.0,0.0,2040.0,3143687.0,80947993.0,Dec
158455,와이이십이프로젝트금융투자주식회사,45382,2016,926130152.0,1295621151.0,-369490999.0,101020366.0,818104183.0,101020366.0,169030485.0,456699630.0,0.0,0.0,-35192902.0,0.0,0.0,0.0,3306521.0,218889675.0,-151444959.0,-5365621.0,0.0,0.0,724814011.0,0.0,0.0,0.0,0.0,-35192902.0,5868.0,0.0,2040.0,18338575.0,48165855.0,Dec
158456,와이이십이프로젝트금융투자주식회사,45382,2017,1034333805.0,1415485370.0,-381151565.0,55060890.0,626919236.0,55060890.0,9106900.0,703521400.0,0.0,0.0,-11660566.0,0.0,0.0,0.0,3005055.0,256749389.0,-76520670.0,-1632266.0,0.0,0.0,876034457.0,0.0,0.0,0.0,0.0,-11660566.0,11050.0,0.0,28000.0,15914767.0,25943068.0,Dec
158490,요진개발주식회사,46399,2013,547278391.0,224685043.0,322593348.0,500787470.0,66330335.0,81050331.0,36480000.0,145000000.0,0.0,86980546.0,4665333.0,230289.0,0.0,0.0,1879086.0,0.0,-10280291.0,6495147.0,60280368.0,36309601.0,10157540.0,0.0,0.0,21334470.0,419737139.0,6713022.0,2591266.0,11347.0,166027.0,1886510.0,1668635.0,Dec
